Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595659351M595659353;Adler-Olden, Jussi;Erbarmen;2009;416;Krimi;Carl Morcks Beförderung zum Leiter des Dezernats Q ist eigentlich eine Degradierung. Anstatt aktuelle Mordfälle zu lösen, bearbeitet der Kommissar zu den Akten gelegte Fälle. Doch schon der 1. Fall einer seit 5 Jahren spurlos verschwundenen Politikerin entwickelt sich zum Albtraum.
M59566580XM59566580Y;Ahern, Cecilia;Ich schreib dir morgen wieder;2010;365;Belletristik;Der Selbstmord ihres Vaters katapultiert Tamara in eine völlig andere Existenz. Sie ist gezwungen, ohne den gewohnten Luxus auszukommen und zu Verwandten zu ziehen. Ein rätselhaftes Tagebuch erleichtert dem Teenager das neue Leben auf dem Land fernab von Dublin.
M595660997;Akyün, Hatice;Einmal Hans mit scharfer Soße;2007;189;Biografie;"Hans und Helga heißen alle Deutschen bei uns Türken“, schreibt Hatice Akyün, „und jedes Mal, wenn ich in die Türkei fahre, heißt es: ‚Hast du jetzt endlich einen Hans gefunden? 
"
M595665612;Anam, Tahmina / Früh, Sigrid / Walch, Paul (Hrsg.);Zeit der Verheißungen;2010;317;Belletristik;Dhaka, Ostpakistan 1971. Sohn und Tochter der verwitweten Rehana haben sich der Untergrundarmee für die Unabhängigkeit Bangladeschs angeschlossen. Aus Liebe zu ihren Kindern wird auch Rehana zur Unterstützerin des Befreiungskampfes.
M59566537X;André-Lang/Rast, Harald;Kap meiner Hoffnung;2010;263;med. Erlebnisbericht;Packender Lebensbericht einer deutschen Kinderärztin, die seit 1988 in Südafrika arbeitet und sich für bessere medizinische Bedingungen für schwarze Kinder engagiert.
M595665567;Andres, Dorothee;Carpe Diem;2009;412;Biografie;Die Lebenserinnerungen von Dorothee Andres konzentrieren sich auf ihre gemeinsamen Lebensjahrzehnte mit Stefan Andres (1906-1970), der bis Ende der 1960er-Jahre als einer der wichtigsten Vertreter der deutschen Gegenwartsliteratur galt.
M601264021;Hamburger Abendblatt;In Hamburg sagt man Tschüss;2010;203;Biografie;Erinnerungen an Heidi Kabel
M595664925;Klein Georg;Roman unserer Kindheit;2010;445;Belletristik;Ein halbes Dutzend Kinder erlebt im deutschen Süden der 1960er-Jahre einen bizarren Mix aus süßem Ferienalltag und dunklen Geheimnissen und Ängsten aus der Welt der Großen, die in dieses Idyll einbrechen und das Erwachsenwerden zwischen Ekel und dunkler Traumverlorenheit beschleunigen.
M601263756;Hampel, Thomas (Hrsg.);HafenCity+Speicherstadt;2010;280;Hamburg;Das maritime Quartier in Hamburg.
M593217075 M595661237;Heidenreich / Schroeder;Alte Liebe;2009;190;Belletristik;Lore und Harry sind seit 40 Jahren verheiratet. Während Harry bereits pensioniert ist, ist die Bibliothekarin Lore noch berufstätig. Vor dem gemeinsamen Ruhestand hat Lore ein wenig Angst. Aber die bevorstehende Hochzeit ihrer Tochter bewegt einiges.
M595665531;Hölderlin, Friedrich;Sämtliche Gedichte und Kommentare;2005;1.148;Klassiker;Neue textkritische und erstmals umfassend kommentierte Edition.
M595664527;Loriot;Das Frühstücksei;2008;285;Humor, Satire;gesammelte dramatische Geschichten mit Doktor Klöbner und Herrn Müller-Lüdenscheidt, Herrn und Frau Hoppenstedt, Erwin Lindemann u.v.a. / Loriot
M595664799;Noack/Bickerich;Helmut Kohl;2010;299;Biografie;Die Biografie erscheint anlässlich des 80. Geburtstages des Exkanzlers und beschreibt Licht- und Schattenseiten des Politikers: seinen Aufstieg, seinen Machtinstinkt, die Regierungzeit und die problembeladenen Jahre danach.
M595660879;Scholl-Latour;Afrikanische Totenklage;2003;539;Erlebnisbericht;Der Ausverkauf des Schwarzen Kontinents.
M595665778;Schulz, Frank;Mehr Liebe - Heikle Geschichten;2010;210;Belletristik;
M595660879;Scholl-Latour;Afrikanische Totenklage;2003;539;Erlebnisbericht;Der Ausverkauf des Schwarzen Kontinents.
M595665778;Schulz, Frank;Mehr Liebe - Heikle Geschichten;2010;210;Belletristik;
;;;;;;
