Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595659351M595659353;Adler-Olden, Jussi;Erbarmen;2009;416;Krimi;Carl Morcks Beförderung zum Leiter des Dezernats Q ist eigentlich eine Degradierung. Anstatt aktuelle Mordfälle zu lösen, bearbeitet der Kommissar zu den Akten gelegte Fälle. Doch schon der 1. Fall einer seit 5 Jahren spurlos verschwundenen Politikerin entwickelt sich zum Albtraum.
M59566580XM59566580Y;Ahern, Cecilia;Ich schreib dir morgen wieder;2010;365;Belletristik;Der Selbstmord ihres Vaters katapultiert Tamara in eine völlig andere Existenz. Sie ist gezwungen, ohne den gewohnten Luxus auszukommen und zu Verwandten zu ziehen. Ein rätselhaftes Tagebuch erleichtert dem Teenager das neue Leben auf dem Land fernab von Dublin.
M595660997;Akyün, Hatice;Einmal Hans mit scharfer Soße;2007;189;Biografie;"Hans und Helga heißen alle Deutschen bei uns Türken“, schreibt Hatice Akyün, „und jedes Mal, wenn ich in die Türkei fahre, heißt es: ‚Hast du jetzt endlich einen Hans gefunden? 
"
M595665612;Anam, Tahmina / Früh, Sigrid / Walch, Paul (Hrsg.);Zeit der Verheißungen;2010;317;Belletristik;Dhaka, Ostpakistan 1971. Sohn und Tochter der verwitweten Rehana haben sich der Untergrundarmee für die Unabhängigkeit Bangladeschs angeschlossen. Aus Liebe zu ihren Kindern wird auch Rehana zur Unterstützerin des Befreiungskampfes.
M59566537X;André-Lang/Rast, Harald;Kap meiner Hoffnung;2010;263;med. Erlebnisbericht;Packender Lebensbericht einer deutschen Kinderärztin, die seit 1988 in Südafrika arbeitet und sich für bessere medizinische Bedingungen für schwarze Kinder engagiert.
M595665567;Andres, Dorothee;Carpe Diem;2009;412;Biografie;Die Lebenserinnerungen von Dorothee Andres konzentrieren sich auf ihre gemeinsamen Lebensjahrzehnte mit Stefan Andres (1906-1970), der bis Ende der 1960er-Jahre als einer der wichtigsten Vertreter der deutschen Gegenwartsliteratur galt.
M595664751;Auster, Paul;Unsichtbar;2010;315;Belletristik;Der Student Adam Walker wird Zeuge, wie ein von ihm hoch verehrter Professor einen brutalen Mord begeht. - Roman um Schuld, Rache und Selbstverachtung und über das Wesen der Literatur.
M595665518;Bahra, Hanne;Königin Luise;2010;140;Biografie;Bildbiografie entlang der Lebensstationen der bekanntesten aller preußischen Königinnen (1776-1810).
M595664714;Bakker, Gerbrand;Oben ist es still;2008;315;Belletristik;Nach dem Tod seines Zwillingsbruders arbeitet Helmer auf dem Hof seines Vaters. Ein längerer Aufenthalt seines Neffen Henk bietet ihm die überraschende Aussicht auf eine bisher entbehrte Vaterschaft.
M595661529;Baksi, Kurdo;Mein Freund Stieg Larsson;2010;223;Biografie;Persönliche Erinnerungen des besten Freundes an Krimi-Autor und Verfasser der Millenium-Trilogie Stieg Larsson unter besonderer Betonung des politischen und journalistischen Engagements Larssons.
