Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M601263533;Cabre, Jaume;Die Stimmen des Flusses;Belletristik;2010;871;Mord, Hass, Rache, Liebe und Schweigen prägen das Leben in einem katalanischen Pyrenäendorf, das von den Grausamkeiten des Spanischen Bürgerkriegs nicht verschont wird. Ein historischer Roman, dessen Handlung bis in die Gegenwart reicht.
M595661566;Challis, Sarah;Was im Sommer geschah;Belletristik;2009;575;Nach diesem Sommer wird nichts mehr so sein, wie es war. Ein Dorf in Dorset,an einem Abend im Juni: Das spurlose Verschwinden der zölfjährigen Jodie versetzt die Menschen in der kleinen Gemeinde in Schrecken
M58 607 018 3;Challis, Sarah;Wüstenherz;Belletristik;2008;508;Erzählt wird die Geschichte abwechselnd aus Sicht der schönen, feengleichen und doch einsamen Clemmie, der robusteren, von Liebeskummer geplagten Emily und der Freundin der Großtante, Beryl Timmis. Durch die abwechselnde Erzählweise lernt man die einzelnen Personen aus den verschiedensten Blickwinkeln kennen.
M59 569 901 2;Corkett Robertson, Adele;Der Apfelgarten;Belletristik;2000;415;1932, während der großen Wirtschaftskrise in Amerika, übernimmt Kitty nach dem Tod ihres Vaters die verschuldete Apfelfarm, weil sie den Gedanken nicht ertragen kann, das Haus ihrer Kindheit Fremden zu überlassen. Die Arbeitslosigkeit ist hoch, ihre Geschwister und ihre Mutter versuchen, sich in Boston über Wasser zu halten, und so kämpft Kitty ganz alleine gegen die Naturgewalten.
M595661505;Dahl, Roald;Küßchen, Küßchen!;Belletristik;2007;469;Hier ist das Gruseln zu lernen - von einem Meister des makabren Humors. Diese ungewöhnlichen Schockgeschichten garantieren die schärfsten Genüsse, die ein literarischer Cocktail aus Arsen und Spitzenhäubchen zu bieten hat.  
M60126392X;Damm, Sigrid;Goethes letzte Reise;Belletristik;2010;423;Beschreibung von Goethes Reise mit den Enkeln nach Thüringen, die er ein halbes Jahr vor seinem Tod unternahm.
M601263439;David, Janina;Ein Stück Himmel;Biographie;2010;950;Gesamtausgabe der Erinnerungen der heute in London ansässigen Autorin (Jg. 1930), die mit ihren Eltern das Warschauer Getto erlebte, in verschiedenen Verstecken als Einzige ihrer Familie den NS-Judenmord überstand und nach ihrer Befreiung ein Leben als Heimatlose führen musste.
M59 569 924 7;Delius, Friedrich Christian;Der Spaziergang von Rostock nach Syrakus;Belletristik;2007;223;Die unterhaltsame Chronik einer unwahrscheinlichen Reise. Sie erzählt die spannende und komische Geschichte eines kritischen DDR-Bürgers, der einmal etwas von der Welt sehen wollte. 
M59 569 908 5;Edmondson, Elizabeth;Villa Dante;Belletristik;2010;732;Ein rätselhaftes Testament wird zum ersten Schritt zurück ins Leben. Keiner von ihnen hatte Beatrice Malaspina gekannt und doch hat die Verstorbene sie in ihrem Testament an diesen traumhaften Ort geführt
M59 566 154 2;Erhardt, Heinz;Unvergeßlicher Heinz Erhardt;Humor;2009;172;""" Ich könnte manchmal vor Glück eine ganze Allee von Purzelbäumen schlagen!"" - Heinz Erhardt - Die in diesem Band versammerlten Sketche und Wortspielereien rufen uns noch einmal Heinz Erhardt in Erinnerung"
