Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M588284871;Robertis,de, Carolina;Die unsichtbare Stimme;Belletristik;2009;6;Die Geschichte dreier Frauen mit einem unbändigen Drang zu einem selbstbestimmten Leben - gegen alle Widerstände -
M588284777;Updike, John;Die Witwen von Eastwick;Belletristik;2008;7;Ein Vierteljahrhundert ist es her, seit die Hexen Alexandra,Jane und Sukie nach den Orgien mit Darryl van Horne und dem Mord an dessen Favoritin Eastwick verließen. Nun, erneut verheiratet und verwitwet, machen sie noch einmal Sommerferien in Eastwick - und dort erinnert man sich an sie. Und hat alte  Rechnungen offen.
M58828486X;Winter,de,Leon;Leo Kaplan;Belletristik;2002;6;Ein tragikomischer Roman über die Sehnsucht nach der Liebe und die Suche nach den eigenen Wurzeln
M600482531;Tolstoi, Leo;Krieg und Frieden;Belletristik;2008;54;Russland, 1805 bis 1812: Während Napoleons Truppen in Europa wüten, treibt auch die feine Gesellschaft Russlands einem Schicksal entgegen, das von den Schrecken des Krieges und den historischen Ereignissen bestimmt ist.
M588282324;C. S. Forester;African Queen;Belletristik;2007;4;"Afrika 1914: Rose Sayer überredet Charlie Allnut, Kapitan der altersschwachen ""African Queen"", ein deutsches Kanonenboot zu versenken. Doch das patrouilliert auf einem See, der angeblich nur über Land zu erreichen ist. Wie sollen sie also dort hinkommen? Vor allem: Wie können die altjüngferliche Missionarin und der trinkfreudige Kapitän überhaupt  miteinander auskommen?"
M588282312;Sandra Brown;Eisnacht;Krimi;2008;6;Ein Eissturm tobt. Doch es ist nicht die Kälte, die Lilly Martin denken lässt, dass sie sich den Tod geholt hat. Gemeinsam mit einem Fremden wartet sie in ihrer einsam gelegenen Berghütte auf das Ende des Blizzards und langsam keimt in ihr der Verdacht, dass es sich bei dem Unbekannten um einen langgesuchten Frauenmörder handelt. Sie sitzt in einer eiskalten Falle....
M588283200;Mary Higgins Clark;Mein ist die Stunde der Nacht;Krimi;2004;6;Die Historikerin Jean Sheridan reist zu einem Ehemaligen-Treffen in ihre Heimatstadt, bei dem sie und sechs andere aus ihrem Jahrgang ausgezeichnet werden sollen. Überschattet wird das Treffen von der Nachricht, dass eine der sechs tot in ihrem Pool aufgefunden wurde. Noch ahnt niemand, dass der Killer bei der Preisverleihung unter den Anwesenden ist und sein letzten Opfer bereits auserkoren hat.  
M588282292;T. C. Boyle;Das wilde Kind;Belletristik;2010;2;"Ende des 18. Jh. in Frankreich: Ein ca. 12-jähriges Kind, verwildert, nackt und unfähig zu sprechen, wird in den Wäldern gefangen. Der Junge ist nicht nur bei der einfachen Landbevölkerung, sondern auch bei Pariser Wissenschaftlern die Sensation. Ein junger Arzt beginnt mit dem Experiment der ""Zivilisierung"", das nur bedingt erfolgreich verläuft."
M588282231;Ruth Rendell;Die Maus in der Ecke;Krimi;2006;1;Tom Peterlee wurde mit einem Holzscheit brutal erschlagen. Kommissar Wexford kommt mit seinen Ermittlungen jedoch nicht voran. Wer hat ein Motiv? Seine Frau, seine Geliebt, die ihn verlassen wollte, seine trotzige Stieftochter und ihr krimineller Freund oder seine Mutter, die seinen Tod überhaupt nicht bedauert 
M588282292;T. C. Boyle;Das wilde Kind;Belletristik;2010;2;Ende des 18. Jh. in Frankreich: Ein ca. 12-jähriges Kind, verwildert, nackt und unfähig zu sprechen, wird in den Wäldern gefangen. Der Junge ist nicht nur bei der einfachen Landbevölkerung, sondern auch bei Pariser Wissenschaftlern die Sensation. 
